detail,driven_m,energy_wh,from,goal_error_m,matrix_m,min_clearance_m,planned_m,planner,planning_ms,repeat,success,time_s,to,turning_rad
status 4 error 0,8.872,0.0824,charger,0.212,9.04,0.335,8.985,ThetaStar,8.19,2,True,20.7,A,7.169
status 4 error 0,10.074,0.0972,A,0.214,10.01,0.316,10.035,ThetaStar,8.6,2,True,26.27,delivery,4.138
status 4 error 0,10.152,0.0946,delivery,0.152,10.26,0.354,10.438,ThetaStar,4.0,2,True,23.6,B,4.656
status 4 error 0,10.198,0.0978,B,0.174,10.26,0.381,10.127,ThetaStar,8.79,2,True,26.12,delivery,4.218
status 4 error 0,6.251,0.0617,delivery,0.092,6.3,0.45,6.259,ThetaStar,6.45,2,True,17.22,C,0.322
status 4 error 0,6.508,0.0649,C,0.176,6.3,0.35,6.326,ThetaStar,4.94,2,True,18.0,delivery,0.735
status 4 error 0,5.289,0.055,delivery,0.021,5.1,0.552,5.206,ThetaStar,4.18,2,True,15.71,charger,1.003
status 4 error 0,9.105,0.0841,charger,0.228,9.04,0.316,9.894,SmacLattice,8.0,2,True,21.02,A,5.7
status 4 error 0,10.832,0.103,A,0.23,10.01,0.45,10.956,SmacLattice,464.0,2,True,26.96,delivery,7.816
status 4 error 0,10.18,0.0948,delivery,0.172,10.26,0.354,10.457,SmacLattice,8.0,2,True,23.71,B,3.196
status 4 error 0,10.401,0.0991,B,0.205,10.26,0.381,10.285,SmacLattice,460.0,2,True,26.33,delivery,4.427
status 4 error 0,6.364,0.0624,delivery,0.144,6.3,0.45,6.716,SmacLattice,8.0,2,True,16.71,C,3.384
status 4 error 0,6.453,0.0646,C,0.217,6.3,0.4,6.274,SmacLattice,156.0,2,True,18.01,delivery,1.89
status 4 error 0,6.654,0.0924,delivery,0.156,5.1,0.35,7.053,SmacLattice,4.0,2,True,34.0,charger,5.912
status 4 error 0,9.139,0.0858,charger,0.188,9.04,0.335,9.418,NavfnDijkstra,14.7,2,True,22.22,A,11.905
status 4 error 0,10.332,0.102,A,0.14,10.01,0.412,10.383,NavfnDijkstra,15.2,2,True,27.8,delivery,10.857
status 4 error 0,10.18,0.0949,delivery,0.169,10.26,0.427,10.582,NavfnDijkstra,13.34,2,True,24.1,B,6.094
status 4 error 0,10.1,0.0992,B,0.207,10.26,0.461,10.112,NavfnDijkstra,11.07,2,True,27.4,delivery,1.446
status 4 error 0,6.334,0.064,delivery,0.107,6.3,0.45,6.305,NavfnDijkstra,9.55,2,True,17.61,C,3.996
status 4 error 0,6.371,0.0642,C,0.239,6.3,0.3,6.382,NavfnDijkstra,10.04,2,True,17.81,delivery,4.303
status 4 error 0,5.282,0.0551,delivery,0.08,5.1,0.65,5.307,NavfnDijkstra,7.77,2,True,16.0,charger,3.781
status 4 error 0,9.037,0.0888,charger,0.155,9.04,0.3,9.876,NavfnAStar,10.76,2,True,24.21,A,17.659
status 4 error 0,10.495,0.103,A,0.164,10.01,0.45,10.61,NavfnAStar,11.33,2,True,28.32,delivery,9.628
status 4 error 0,10.503,0.1001,delivery,0.169,10.26,0.354,11.385,NavfnAStar,20.94,2,True,25.61,B,23.055
status 4 error 0,10.181,0.0996,B,0.139,10.26,0.447,10.148,NavfnAStar,45.05,2,True,27.33,delivery,2.945
status 4 error 0,6.356,0.0658,delivery,0.104,6.3,0.364,6.748,NavfnAStar,10.05,2,True,19.12,C,18.989
status 4 error 0,6.512,0.065,C,0.137,6.3,0.35,6.336,NavfnAStar,12.42,2,True,18.12,delivery,2.083
status 4 error 0,5.229,0.0548,delivery,0.072,5.1,0.602,5.244,NavfnAStar,7.25,2,True,15.52,charger,1.383
status 4 error 0,8.873,0.0827,charger,0.215,9.04,0.335,9.132,ThetaStar,4.0,3,True,21.02,A,7.002
status 4 error 0,10.303,0.1004,A,0.203,10.01,0.35,10.114,ThetaStar,8.0,3,True,26.89,delivery,6.765
status 4 error 0,10.143,0.0945,delivery,0.214,10.26,0.45,10.545,ThetaStar,4.0,3,True,23.7,B,3.969
status 4 error 0,10.177,0.0981,B,0.167,10.26,0.354,10.11,ThetaStar,10.47,3,True,26.11,delivery,4.09
status 4 error 0,6.205,0.0617,delivery,0.107,6.3,0.45,6.226,ThetaStar,4.69,3,True,17.2,C,0.565
status 4 error 0,6.463,0.0648,C,0.153,6.3,0.4,6.366,ThetaStar,6.18,3,True,18.21,delivery,1.958
status 4 error 0,5.304,0.0553,delivery,0.056,5.1,0.608,5.167,ThetaStar,3.75,3,True,15.81,charger,1.726
status 4 error 0,9.175,0.0845,charger,0.22,9.04,0.283,9.248,SmacLattice,8.0,3,True,21.32,A,5.304
status 4 error 0,10.563,0.1019,A,0.16,10.01,0.403,10.621,SmacLattice,436.0,3,True,26.81,delivery,8.39
status 4 error 0,10.153,0.0932,delivery,0.18,10.26,0.354,10.396,SmacLattice,16.0,3,True,23.62,B,3.003
status 4 error 0,10.455,0.0996,B,0.239,10.26,0.391,10.364,SmacLattice,464.0,3,True,25.9,delivery,4.413
status 4 error 0,6.347,0.0608,delivery,0.103,6.3,0.45,6.623,SmacLattice,12.0,3,True,16.51,C,3.584
status 4 error 0,6.384,0.0644,C,0.174,6.3,0.3,6.405,SmacLattice,184.0,3,True,17.61,delivery,3.426
status 6 error 105,5.938,0.1137,delivery,0.101,5.1,0.391,7.784,SmacLattice,28.0,3,False,48.8,charger,7.258
status 4 error 0,8.998,0.0888,charger,0.23,9.04,0.3,9.9,NavfnDijkstra,15.9,3,True,24.32,A,12.367
status 4 error 0,10.186,0.1013,A,0.184,10.01,0.412,10.356,NavfnDijkstra,13.79,3,True,27.81,delivery,9.569
status 4 error 0,10.143,0.0948,delivery,0.189,10.26,0.35,10.519,NavfnDijkstra,15.32,3,True,23.91,B,7.12
status 4 error 0,10.054,0.0973,B,0.221,10.26,0.403,10.122,NavfnDijkstra,13.1,3,True,26.62,delivery,1.775
status 4 error 0,6.229,0.0635,delivery,0.098,6.3,0.45,6.288,NavfnDijkstra,11.36,3,True,17.22,C,4.613
status 4 error 0,6.48,0.0649,C,0.203,6.3,0.35,6.428,NavfnDijkstra,11.78,3,True,18.02,delivery,3.566
status 4 error 0,5.207,0.053,delivery,0.105,5.1,0.7,5.264,NavfnDijkstra,6.59,3,True,15.52,charger,4.253
status 4 error 0,8.891,0.0846,charger,0.217,9.04,0.3,9.651,NavfnAStar,15.05,3,True,21.62,A,15.383
status 4 error 0,10.557,0.1035,A,0.121,10.01,0.461,10.652,NavfnAStar,12.55,3,True,28.69,delivery,14.184
